id,question,correct_answer,model_prediction,is_correct,raw_response,evidence
64,A healthy 19-year-old man presents to his primary ...,A,B,False,"B

Explanation: The clinical presentation described suggests a diagnosis of candidiasis, commonly known as thrush, which is caused by an overgrowth of Candida species, particularly Candida albicans. Candida species produce a white, adherent film on the mucosal surfaces that can be wiped away to reveal erythematous mucosa. The treatment for candidiasis often involves antifungals that disrupt fungal cell membrane integrity, such as nystatin or fluconazole. None of",Fact about Disruption of cell membrane permeability: The lipid bilayer (or phospholipid bilayer) is ...
65,A 56-year-old man presents to the clinic complaini...,B,B,True,"B

Explanation: Given the patient's history of non-small cell lung cancer with previous treatment and a positive past medical history, the most likely imaging finding would be lytic lesions of the lumbar spine, which can indicate metastatic disease from the lung cancer. The other options are less likely given the context provided.",No specific external evidence found....
66,A 4-year-old boy is brought to the emergency depar...,C,C,True,"C

Explanation: In emergency situations where there is a life-threatening condition and immediate intervention is necessary, the standard of care is to perform the procedure without delay, even if parental consent cannot be obtained immediately. The patient's condition (severe abdominal pain, bilious vomiting, distended abdomen, tenderness, guarding, and rebound tenderness, and dilated loops of bowel on X-ray) suggests a potential bowel obstruction or perforation, which requires urgent surgical intervention. Delaying surgery could worsen",Fact about Perform emergency laparotomy: An exploratory laparotomy is a general surgical operation w...
67,A 3-week-old male newborn is brought to the hospit...,B,C,False,"C

The clinical presentation of the newborn, including poor weight gain, irritability, fever, tachycardia, tachypnea, and a paucity of subcutaneous fat, along with the presence of a midline neck swelling, suggests congenital hypothyroidism due to transplacental passage of maternal antibodies (most commonly thyroid peroxidase antibodies) during pregnancy. This condition can lead to a form of neonatal hyperthyroidism known as transient neonatal",Fact about Transplacental viral infection: Viral hepatitis is liver inflammation due to a viral infe...
68,A 57-year-old female with a past medical history o...,D,A,False,"A

Explanation: The patient's presentation suggests variceal bleeding secondary to portal hypertension, given the presence of splenomegaly and a positive fluid wave, which are signs of portal hypertension. Phentolamine, as a non-selective alpha-adrenergic antagonist, can be used to manage severe bleeding from esophageal varices by causing vasoconstriction and reducing portal venous flow. While octreotide was administered, which is a somatostatin analogue used to","Fact about Phentolamine: Phentolamine, sold under the brand name Regitine among others, is a non-sel..."
69,"A 65-year-old man with a history of hypertension, ...",A,B,False,"B

Explanation: Given the patient's history of alcoholic cirrhosis, the presence of a 2 cm right hepatic lobe lesion with enhancement in the arterial phase on CT scan, and the absence of hypodense attenuation on the venous or delayed phase, this suggests a possible hepatocellular carcinoma (HCC). For small HCCs, surgical resection is often considered if the patient is a good candidate and the tumor is amenable to resection. Radiofrequency ablation is","Fact about Refer for surgical resection: Segmental resection, or segmentectomy, is a surgical proced..."
70,A 66-year-old man is brought to the emergency room...,A,A,True,"A

The patient's presentation includes significant ascites, altered mental status, hyperreflexia, and asterixis, which are classic signs of hepatic encephalopathy. The laboratory findings show elevated ammonia levels (100 µg/dL), indicating liver dysfunction. The presence of ascites and the absence of other causes such as active bleeding from varices or brain pathology suggest spontaneous bacterial peritonitis (SBP) as the most likely cause of the acute change in the patient",Fact about Spontaneous bacterial peritonitis: Spontaneous bacterial peritonitis (SBP) is the develop...
71,A 27-year-old man presents to the emergency depart...,A,A,True,"A

Explanation: The patient's presentation includes blunt trauma to the chest (unrestrained driver in a head-on collision with bruising over the chest wall), elevated troponins, and a history of chest pain. These findings are consistent with a cardiac contusion, where the heart sustains a bruise due to blunt trauma. While the other conditions (hemorrhage, pulmonary contusion, and Takotsubo cardiomyopathy) can present with similar symptoms, the specific mechanism of injury",Fact about Cardiac contusion: A blunt cardiac injury is an injury to the heart as the result of blun...
72,A 56-year-old man presents to the emergency depart...,C,C,True,"C

The patient's presentation suggests complications from liver cirrhosis, including ascites, hepatomegaly, and now oliguria, which could indicate the development of hepatorenal syndrome (HRS). Given the patient's history of cirrhosis and the current clinical scenario, liver transplantation would be the most appropriate next step, as it addresses the underlying liver dysfunction and could potentially reverse the progression of complications.",Fact about Liver transplantation: Liver transplantation or hepatic transplantation is the replacemen...
73,A 29-year-old woman presents to the clinic after s...,B,B,True,"B

The patient's symptoms suggest hyperthyroidism, given the weight loss, fine hand tremor, warm skin, and tachycardia. Methimazole is the most appropriate initial treatment for hyperthyroidism, particularly in cases like this where it's likely due to Graves' disease.","Fact about Glucocorticoids: Glucocorticoids (or, less commonly, glucocorticosteroids) are a class of..."
74,A 21-year-old man comes to the physician because o...,C,D,False,"D

The most likely diagnostic method to confirm the diagnosis in this case is a skin biopsy. Given the patient's recent travel history, the nature of the rash (hypopigmented and expanding), and the presence of pruritus, the differential diagnoses could include various dermatological conditions such as fungal infections, viral infections (like tinea versicolor or pityriasis versicolor), or other dermatoses. A skin biopsy would provide definitive histopathological evidence needed to make an accurate diagnosis.","Fact about Wood lamp examination: A blacklight, also called a UV-A light, Wood's lamp, or ultraviole..."
75,A 5-year-old female is brought to a speech therapi...,A,D,False,"D

The patient's symptoms, including a high-pitched mewing cry at birth, microcephaly, prominent epicanthal folds, and a holosystolic murmur, are indicative of Down syndrome, which is caused by an extra copy of chromosome 21. This condition is also known as trisomy 21. Therefore, the correct answer is D: 21.","Fact about 5: 5 (five) is a number, numeral and digit. It is the natural number, and cardinal number..."
76,A 62-year old female comes to the physician becaus...,B,B,True,"B

Explanation: Given the patient's history of vaginal spotting and the presence of a firm, immobile, erythematous mass on the right inner vaginal wall, the most appropriate next step is to perform a biopsy of the mass. This will help determine the nature of the mass and guide further management.","Fact about Biopsy of the mass: A breast mass, also known as a breast lump, is a localized swelling t..."
77,A 59-year-old man is evaluated for progressive joi...,B,C,False,"C

The patient presents with progressive joint pain, swelling, and tenderness over the metacarpophalangeal joints, which are classic symptoms of inflammatory rheumatological conditions such as rheumatoid arthritis. The elevated transferrin saturation and high serum ferritin levels suggest iron overload, but these findings are not specific to the given options. The context does not provide evidence of crystal deposition diseases or pathogenic inoculation. Therefore, the most likely diagnosis is an inflammatory rheumatological syndrome like","Fact about Inflammatory rheumatological syndrome: Raynaud syndrome, also known as Raynaud's phenomen..."
78,A newborn is found to be extremely cyanotic immedi...,C,B,False,"B

Persistent truncus arteriosus (PTA) is the most likely cause of this newborn's condition. PTA results in a single vessel supplying both the pulmonary and systemic circulation, leading to cyanosis due to mixing of oxygenated and deoxygenated blood. The single loud S2 heart sound and machine-like murmur at the left upper sternal border are consistent with PTA. Additionally, the enlarged ""egg-shaped"" heart on radiography is also a characteristic finding in PTA",Fact about Coarctation of the aorta: Coarctation of the aorta (CoA) is a congenital condition whereb...
79,A 25-year-old male involved in a knife fight prese...,C,C,True,"C

Explanation: Given the full thickness penetrating injury to the right ventricular free wall, the most appropriate immediate surgical approach is to perform interrupted 2-0 polypropylene suturing with supporting pledgets to repair the ventricular wall. Cardiac transplant is not indicated for this acute, potentially repairable injury. Watchful waiting would be inappropriate given the hemodynamic instability. Needle thoracostomy is used to manage pneumothorax or hemothorax, not for repairing a ventricular",Fact about Immediate cardiac transplant: Organ transplantation is a medical procedure in which an or...
80,A post-mortem lung examination of a 68-year-old ma...,B,C,False,"C

Explanation: The patient's history suggests chronic lower extremity edema, a significant smoking history, and a productive cough, which could indicate chronic obstructive pulmonary disease (COPD) or other chronic inflammatory conditions. Non-caseating granulomas can be indicative of conditions such as sarcoidosis, which often presents with these symptoms. The other options (hypereosinophilia, Reid Index > 50%, and evidence of a necrotizing infection) do not align as closely",Fact about Hypereosinophilia: Eosinophilia is a condition in which the eosinophil count in the perip...
81,A 54-year-old male makes an appointment with his p...,A,C,False,"C

Explanation: The description of enlarged nodules and a characteristic change in chromosome 18 suggests a diagnosis of multiple endocrine neoplasia type 2A (MEN2A), which is associated with mutations in the RET proto-oncogene. While the context provided does not directly mention RET, the presence of enlarged nodules and a specific chromosomal change often points towards RET mutation. CDK4 is involved in cell cycle regulation, but the key abnormality in MEN2A",Fact about Caspase-9: Caspase-9 is an enzyme that in humans is encoded by the CASP9 gene. It is an i...
82,A 44-year-old African-American woman comes to the ...,C,C,True,"C

Explanation: Given the context provided, the patient's history and examination findings suggest a higher risk for acral lentiginous melanoma (ALM). ALM is more common in individuals with darker skin tones, such as African Americans, and can present as a dark, irregular mark on the skin, often in areas not typically exposed to sunlight, like the palms, soles, or undernail beds. The other types of melanoma mentioned (desmoplastic, nodular,",Fact about Desmoplastic: Desmoplastic small-round-cell tumor (DSRCT) is an aggressive and rare cance...
83,A 60-year-old woman is brought to the clinic by he...,A,A,True,"A

The patient's symptoms of neck stiffness and bilateral shoulder tenderness, along with elevated erythrocyte sedimentation rate (ESR) and C-reactive protein (CRP), suggest inflammation. Given the context provided about jaw claudication being a symptom of giant-cell arteritis, and the patient's age and family history of ischemic stroke, screening for jaw claudication (indicative of giant-cell arteritis) would be appropriate. The other conditions (heliotrope rash",Fact about Jaw claudication: Jaw claudication is pain in the jaw associated with chewing. It is a cl...
84,A 30-year-old woman comes to the physician because...,C,A,False,"A

Explanation: The patient's symptoms of episodic pelvic and back pain accompanied by painful diarrhea suggest possible adhesions or inflammation in the pelvis, which could be indicative of a previous infection affecting the fallopian tubes. The history of infertility and the episodic nature of the symptoms align well with the possibility of loss of fallopian tube function following an infection. The other options do not fit the clinical presentation as well: there is no evidence of a tumor or endometriosis,",Fact about Loss of fallopian tube function following infection: Ectopic pregnancy is a complication ...
85,A 55-year-old truck driver is brought to a physici...,B,B,True,"B

The presence of friable irregular masses attached to the valve would be most helpful in establishing a diagnosis of infective endocarditis, given the patient's history of tricuspid valve replacement, fever, weakness, and hemorrhages on the nail beds, which are consistent with septic emboli.","Fact about Bicuspid valve: The tricuspid valve, or right atrioventricular valve, is on the right dor..."
86,A previously healthy 30-year-old woman comes to th...,C,C,True,"C

The patient's symptoms of dyspareunia (pain during sexual intercourse) and cyclic pelvic pain suggest possible endometriosis or pelvic inflammatory disease. Given the rectovaginal tenderness noted on physical examination, laparoscopy would be the most appropriate next step to visualize and diagnose potential pelvic pathology, such as endometriotic lesions or adhesions, which could explain her symptoms.",Fact about Hysterectomy: Hysterectomy is the surgical removal of the uterus and cervix. Supracervica...
87,A 50-year-old man visits his physician after 20 ye...,C,C,True,"C

Explanation: The patient's total cholesterol and LDL-cholesterol levels are elevated, which indicates the need for treatment to reduce cardiovascular risk. While blood pressure is elevated, it is within the range considered prehypertensive (130/90 mm Hg), and thus may not require immediate treatment without further evaluation. The patient's weight is not provided, but being obese increases cardiovascular risk. The fasting serum glucose level is slightly elevated (105 mg/dL), but",Fact about Blood pressure reading: Blood pressure (BP) is the pressure of circulating blood against ...
88,A 26-year-old woman is brought to the emergency de...,C,D,False,"D

The patient's presentation includes severe respiratory distress, hypotension, tachypnea, and a widened mediastinum on chest X-ray, which are consistent with a tension pneumothorax. The other conditions (diaphragmatic rupture, traumatic bronchial rupture, and thoracic aortic rupture) do not present with these specific findings.",Fact about Diaphragmatic rupture: Diaphragmatic rupture (also called diaphragmatic injury or tear) i...
89,A 26-year-old G1P0 woman presents to her primary c...,B,B,True,"B

Explanation: Given the patient's presentation of hyperthyroidism symptoms, including anxiety, palpitations, and difficulty sleeping, along with laboratory findings of low TSH and high FT4, the diagnosis of hyperthyroidism is likely. For a pregnant patient, Propylthiouracil (PTU) is generally considered the first-line treatment due to its better safety profile during the first trimester compared to Methimazole. Therefore, the best treatment option is B: Propyl","Fact about Methimazole: Thiamazole, also known as methimazole, is a medication used to treat hyperth..."
90,A 32-year-old woman comes to the physician because...,D,A,False,"A

The patient's symptoms, including intermittent loose stools, weight loss, abdominal tenderness, hepatosplenomegaly, and eosinophilia, along with the finding of oval-shaped eggs with lateral spines on stool culture, suggest a diagnosis of schistosomiasis, specifically Schistosoma mansoni infection. This is often associated with exposure to freshwater contaminated with the cercariae of S. mansoni, which can be carried by certain species of freshwater snails. Therefore",Fact about Undercooked pork meat: Pork is the culinary name for the meat of the pig (Sus domesticus)...
91,A 3-month-old girl is brought to a pediatrician by...,B,B,True,"B

Explanation: The statement ""Normal hemoglobin in patients with tetralogy of Fallot does not rule out iron deficiency anemia"" is true. While these patients often have cyanosis due to right-to-left shunting, they can still develop iron deficiency anemia due to chronic blood loss or poor dietary intake, even if their hemoglobin levels appear normal. The other options are incorrect based on the given context: cerebral arterial thrombosis is less common than cerebral venous thrombosis,",Fact about Cerebral arterial thrombosis is more common than cerebral venous thrombosis.: Cerebral ve...
92,Six days after undergoing surgical repair of a hip...,C,C,True,"C

Explanation: The patient's symptoms of agitation, confusion, fluctuating consciousness, and inattention, along with the context of recent surgery and the presence of a known risk factor (oxycodone use), strongly suggest delirium. Dementia typically has a more gradual onset and does not present with such acute fluctuations in consciousness. Opioid intoxication would likely present with more pronounced respiratory depression and sedation, which are not mentioned. A urinary tract infection would more commonly present with systemic","Fact about Dementia: Dementia is a syndrome associated with many neurodegenerative diseases, charact..."
93,A 54-year-old woman with a past medical history of...,D,A,False,"A

Explanation: The patient's presentation includes ataxia, altered behavior, spasticity, and a positive Babinski sign, which are consistent with a neurological condition affecting the brain. Cerebral palsy, especially if it involves spasticity and ataxia, fits the clinical picture better than the other conditions listed. Diabetes mellitus, Down syndrome, and rheumatoid arthritis do not typically present with these specific neurological findings.",Fact about Cerebral palsy: Cerebral palsy (CP) is a group of movement disorders that appear in early...
94,A 24-year-old man is brought to the emergency depa...,C,D,False,"D

The patient's presentation suggests a flail chest, which would lead to paradoxical motion of the chest wall during breathing. The muffled heart sounds and jugular venous distention are consistent with significant intrathoracic hemorrhage or tamponade, but the primary finding related to breathing would be paradoxical motion due to the flail segment of the rib cage moving in the opposite direction to the rest of the chest wall.",Fact about Tracheal deviation toward the right side: Mediastinal shift is an abnormal movement of th...
95,A 40-year-old man presents to his primary-care doc...,D,C,False,"C

The patient's presentation with palpable flank masses and elevated creatinine level suggests the possibility of renal masses or other renal pathology. Given the family history of kidney disease and the presence of bilateral flank masses, liver function tests are not directly relevant to the primary concern of renal issues. Colonoscopy and EGD are more pertinent for gastrointestinal concerns, which do not align with the clinical scenario described. MR angiography of the brain is not indicated for evaluating renal masses. Therefore, the most appropriate initial",Fact about Colonoscopy: Colonoscopy () or coloscopy () is a medical procedure involving the endoscop...
96,A 17-year-old female is brought to the emergency r...,A,A,True,"A

The patient's symptoms include shortness of breath, chest pain exacerbated by breathing or coughing, and hemoptysis (coughing up blood). These symptoms are consistent with a pulmonary embolism, where a blood clot blocks a pulmonary artery. Pulmonary emboli can occur due to deep vein thrombosis (DVT) and are often caused by factors such as prolonged immobility, surgery, or genetic predispositions. The fact that the patient has a large filling defect in","Fact about Autosomal dominant: In genetics, dominance is the phenomenon of one variant (allele) of a..."
97,A 26-year-old male presents to his primary care ph...,B,B,True,"B

Explanation: The scenario describes a recurrent infection with a sexually transmitted disease (STD) likely caused by Neisseria gonorrhoeae, given the symptoms and culture results. Recurrent infections despite treatment often indicate antigenic variation, where the pathogen can change its surface proteins to evade the host immune response, leading to reinfection. This aligns with the fact provided about antigenic variation.",Fact about Exotoxin release: An exotoxin is a toxin secreted by bacteria. An exotoxin can cause dama...
98,A 37-year-old man with no significant past medical...,B,A,False,"A

Explanation: Given the patient's recent motor vehicle accident and significant neck pain, the most appropriate next step is to obtain a lateral cervical film to rule out any potential cervical spine injury, which could be life-threatening if not properly managed. Cervical immobilization may be considered concurrently depending on the findings, but imaging is necessary first to assess for fractures or other injuries. Methylprednisolone is typically used in cases of suspected spinal cord injury to reduce inflammation, but without clear indications of","Fact about Lateral cervical film: Amyotrophic lateral sclerosis (ALS), also known as motor neuron di..."
99,"A 43-year-old man with a history of schizophrenia,...",B,B,True,"B

Explanation: Bromocriptine is not typically associated with galactorrhea or decreased libido, which are common side effects of typical antipsychotics like Haloperidol, Fluphenazine, and Risperidone. Bromocriptine primarily affects dopamine receptors and is used for conditions unrelated to these side effects.","Fact about Haloperidol: Haloperidol, sold under the brand name Haldol among others, is a typical ant..."
